,Comment
66,"(error ls -a)<br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: <br>-Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand"
67,Iss video ne to bawal macha dala. But galti to bewakuufo ki hai jo bina proper dekhe sune hagne aa gaye git hub pe.
68,Please Take this Video Down
69,thankyou akka
70,Just take this video down.
71,&quot;ls -a&quot;  not working i donno why
72,take this video down
73,THANKS FOR RUINING IMAGE OF INDIAN DEVELOPERS
74,Dude pls edit this video <br>its causing so much embarrassing moment for the indian developers  <br>are didi sun lo humari request pls ....
75,thank you
76,Apna college has become pain in ass.
77,"They don&#39;t give a damn, i will report it,maybe they will take action."
78,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
79,Thanks a lot
80,"nice informative but very basic level. You have not covered things like Gitignore, Tags, Rebase, etc"
81,"i use nvim <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1111"">18:31</a>"
82,"If &quot;ls -a&quot; is not working just type &quot;Get-ChildItem -Force&quot; in your powershell or if you want to run &quot;ls -a&quot; change from powershell to gitbash. I hope it will help , Happy Coding Coders😊"
83,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
84,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
85,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
86,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
87,do not redeem saar
88,pa jeets are a menace to the society...
89,Vs code ne GitHub connect kasa kela Tai
90,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
91,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4428"">1:13:48</a>"
92,Noob
93,how dare you
94,please take this video down this is terrible
95,Hey can you please take down this video as now it coming to reputation of Indian dev..<br>Please take it seriously
96,"amazing  tutorials , i now created my owm contribution to official coding  repo in industry (epxress js)"
97,"thans to this video, İ found a jop in gogle, thanks ymucjhh."
98,Saaaar
