,Comment
371,In the year 2004 I met a person and asked him to introduce himself. He started with I am &quot;Mr.&quot; Sachin  Kumar.<br>I along with few more were astonished to see such a (self-punchy) start.<br><br>AND YOU ARE THE SECOND after that. I am Shraddha &quot;Didi&quot;.
372,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3300"">55:00</a>"
373,Thank you for this course
374,Thank you. It is really very helpful tutorial
375,didi apne terminal open kese kiya hai
376,great video didi thanks you so much
377,Starting 11/12/23
378,Thanks 👍
379,for those having problem when git diff main is run so there is endless loop to escape it type q in window
380,git push origin main... nahi ho raha. master branch dhikhai de raha hai?
381,is homebrew is neccessory for mac m1 for coding. please answer
382,Thank you.!
383,cheat sheet link please
384,Mam make a video on how to use guthub wirh intellij 🙏🙏🙏🙏
385,Thank you soooo much for this detailed tutorial in easy words
386,Can&#39;t find GitHub notes can u anyone provide notes pdf pls
387,Thank you didi
388,"Very well explained,  the key parts of git and github. ❤👏"
389,🙏🙏🙏
390,"mam, at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1280"">21:20</a> it&#39;s user&#39;s home directory not root directory"
391,AWESOME
392,"Trust me, It is the one of the best tutorial on git and github on youtube!!"
393,didi te haat par farre banaya hai 😂😂😂😂
394,Useful 😊
395,Note file link is broken! Great Video!
396,I&#39;m not able to get my GIT Repository on my local computer . Can anyone please help ?
397,Ager me kaam ko chod ke jaunga toh kiya muje baar baar clone Banna padega
398,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1901"">31:41</a><br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2372"">39:32</a>"
399,"Thank you so much for this video.  If you add stash in this video, it will also be good. I am giving you thanks from bottom of my heart. God bless you ."
400,Should have just re-upload video from Freecodecamp. Complete ripoff from structure of video to minute examples used.
401,Please make part of it so that it covers advance concept like stashes and much more.
402,"Dear Shraddha,<br>Request you to make video on making  latest python projects  for working professional to improve  knowledge."
403,Thank you so much.<br>Easy to understand.<br>crisp and clear 😀🙌
404,Slow.. <br>Slow.. <br>Sloooooowwww
405,Thank you !
406,How to upload/share your projects on github??
407,maine kiya git branch to main hi aaraha hai apka kaise master aaya
408,"thanks a lot, shardha didi, for this amazing git tutorial😊"
409,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=360"">6:00</a> min"
410,beutiful voice
411,very informative session
412,"Awesome <a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>"
413,ls -a command is not working in vs code why? But it working in Git Bash Why?<br><br>What will I do??
414,Very nice tutorial in short but effective 5 stars
415,Guys while i have parllely tried to do the same i have encountered few errors just used gpt it made me understand the problems more proficiently.Mam that&#39;s a another excellent work of yours.
416,This is the best git tutorial on youtube
417,Great tutorial
418,Awesome explanation...thank you so much
419,"since you are using a mac machine you showed full tutorial in mac, but you should also have had shown immediately its hands on in windows too"
420,"why are you showing git tutorial using VS Code, if you wanna teach pure Git things, show Git Usage using Command Prompt na rather than Vs Code terminal."
421,38
422,ls -a cmd doesn&#39;t run on the termianl. Why is it so?
423,You are doing so well things for the society and peoples thank you
424,Please make same topic video using eclipse ide .
425,great
426,"For those people, who are complaining that ls -a command is not working in their system : &quot;You have downloaded Git Bash but in your vs code terminal you are using Powershell so, switch Powershell to Git Bash. Everything will resolve ❤."
427,Mam talking too much engagement example 😅 to explain
428,Thank You 😊!! Please make video on Postman
429,"pace bahot fast hai apaka, you should slow it down little bit, I have tried playing in .75 but its just seems fake..."
430,Thank you ma&#39;am.
431,Thank You ❤❤
432,Excellent tutorial on Git Thank you
433,"Thanks, Shradha for the great class."
434,thankyou so much for the info I just watched the full video its super easy and informative
435,Thanks for the sharing such good topic and the content. Keep sharing those things.🙂
436,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=990"">16:30</a>"
437,Thank you ❤❤
438,helpful video
439,Ma&#39;am it says &quot;Fatal: no such git repository&quot; when I type git status. But I am doing as you said. Please explain?🙏
440,धन्यवाद दीदी ❤
441,Hi...From Pakistan .. Your Teaching Ability is just next level and simple so that anyone can understand.. Learned so much from your channel .
442,👌👍
443,Madam... Please teach in English language so that all language people in India can understand the subject.
444,Git push origin main is not working plz tell me how to fix it
445,One shot video is awesome 😍
446,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1830"">30:30</a>"
447,"didi thanks so much,education ka symbol aap ho"
448,thanks for the tutorial.....
449,Great Miss. You have done amazing job. I have take your full lecture. very helpful.
450,I am big fan of sardha didi
451,Didi mat Bola karo  plz  31 ki umar vale bhi dhekhte hai aapka video
452,❤❤
453,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a>- Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a>- Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a>- GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a>- Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a>- Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a>- Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a>- Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a>- Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a>- Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a>- Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a>- Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a>- Work Flow<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a>- Git Branches<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3085"">51:25</a>- Branch Commands<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3355"">55:55</a>- Merging Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3432"">57:12</a>- Pull Request<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3616"">1:00:16</a>- Pull Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3650"">1:00:50</a>- Resolving Merge Conflicts<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3931"">1:05:31</a>- Undoing Changes<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4284"">1:11:24</a>- Fork"
454,thanks
455,Thank you so much Shraddha didi &lt;3
456,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2531"">42:11</a>"
457,Plz do a video for performing crud operation in windows form using C# language and restful api
458,can you provide english subtitles for the explanation of videos
459,How to find Hidden File in Windows in Mac WE use  ls -a but in windows what we have to use to see hidden file ?please respond anyone
460,thank you so much...very useful
461,Thank You mam
462,Learning this on Diwali 😊<br>Happy Diwali Guys 🪔🪔🎆🎇🙏✨🪷❤️
463,"I am facing difficulty in running the reset command using the hash of the commit, please help."
464,That ln -a is not working in windows
465,"when i type          ls -a<br>its show me this <br>can anyone help??<br><br><br>Get-ChildItem : Parameter cannot be processed because the parameter <br>name &#39;a&#39; is ambiguous. Possible matches include: -Attributes         <br>-Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem],  <br>   ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShel  <br>   l.Commands.GetChildItemCommand"
466,gitdemo folder is not created in my local.
467,"Thanks for the video, but please add milestones in the video, so that intermediates don&#39;t waste their time watching already known topics!"
468,ls -a command is not working
469,Thank you Shradha didi and Apna college for this amazing tutorial of git and  GitHub. One of the best video on tutorial of git &amp; GitHub in YouTube for beginners.
470,Videos banane ke liye screen recorder kaunsa acha hai..Pls suggest
471,Thank you !
472,"Simply amazing tutorial - I can feel the confidence in her teaching and that&#39;s what makes it easy to learn and retain the knowledge. Thanks a lot. (not a complain but do you think we miss <a href=""http://www.youtube.com/results?search_query=%23git"">#git</a> log command? I heard it&#39;s used a lot)"
473,Can you make video tut. on buildroot linux or yocto
474,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/jPgfY5j2IIud29sP3ZeA4Ag""></a>"
475,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3300"">55:00</a> branch"
476,OMG commit and add krte krte puri zindagi nikal jayegi.
477,Thanks for this very good information about git and github
478,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3645"">1:00:45</a>"
479,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2378"">39:38</a>,<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2980"">49:40</a>"
480,thanks for the tutorial
481,Thanks didi ❤️
482,Make English videos plz
483,"<b>Here is a tip</b><br>Use &quot;Ctrl + L&quot; (for windows)<br>        &quot;Cmd + K&quot; (for mac)<br><br>To clear the terminal"
484,lanat aa tera ty khuty dy bachi aa
485,"I wonder, how the process of acquiring all this knowledge, for you, must be. Super impressive delivery and great passion for imparting knowledge. Loved it!"
486,thank u..very helpful...
487,You talk too fast
488,while I&#39;m doing git status in our vs code windows system  fatal: not a git repository (or any of the parent directories): .gits): .git    <br>this message is printed not like you so how can I resolve this and why does this happened..
489,"At <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3149"">52:29</a> In my terminal inside VS code, I&#39;m getting error when I type git branch checkout -b feature1. Please help 🙏"
490,It helped me a lot Thank you so much
491,I am getting an error in terminal<br>Fatal : not a git repository ( or any of the parent directories ) <br><br>Even after configuring<br>Windows - vs code
492,Where is the cheat sheet ? If anyone finds it pls tell me.
493,"THANK YOU SO MUCH FOR THIS TUTOTRIAL, I was so confused with the git commands but your explanation was so easy to understand and follow along!"
494,We need JavaScript ONe SHOT . Thank you.
495,"ls -a is not working for me at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1650"">27:30</a>"
496,thanks
497,waste of time
498,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2343"">39:03</a> Local (VSCode ) to Remote (Github) process starts.."
499,🔥🔥🔥🔥🔥
500,github ko data analyst wale use kr skte h mam.?
501,Amazing
502,"php vs python for backend which will be best? <br>i know every languages are best at their own , but i want a genuine answer.."
503,this is nice
504,"If we have made some changes in our code, and we realize that we&#39;ve completely messed it up, however, we neither have added the code in staging area nor have we committed it. We only want to go to the initial state from where we had started modifying the file. How can we do that?"
505,too much informative. jb ham start me project bnaty us me html css k sath java bhi use krni ho us se related guide kr den ya video upload kr den kindly
506,"Mam im getting problem in vs code its showing git is not recognised, what to do?"
507,"how to access terminal in vs code from gitbash  that shows in  <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1427"">23:47</a>"
508,Thank You !
509,"Hi ! Thanks a lot for this video. This was consolidated very well.  are commands like git stash, git bisect, cherrypick  used at all? Since i see they are not covered in this video."
510,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/CIW60IPp_dYCFcuqTgodEu4IlQ""></a>❤❤❤❤❤❤❤❤❤❤"
511,Best!
512,"i don&#39;t know why ma&#39;am but when we see you , we are get motivated that we can do anything <br>truly spreaking ma&#39;am 😊😊😊😊😊😊😊😊😊😊"
513,&quot;mein hu aapki shradha didi&quot; mere ae 20 saal choti ho tum <br>.. didi kahan se ho gayi
514,thank you for clear explanation
515,Plz make video on Linux command as well.. 🥲🥲 Thanks you..!! 😊
516,mam android development course using kotlin
517,Can you please tell about the &quot;issues&quot; tab on github as well?
518,Where is the cheat sheet
519,nice👌
520,Thank u Mam it&#39;s mattered to me very meaningfully 🙏. i&#39;m really thankful to u mam
521,sharda didi aap best teacher ho
522,Thank you! I actually learned Git and Git hub in an hour with your tutorial.
523,Github chhordo skincare routine bta do
524,Git is not accessible in  myy vs code terminal.
525,this is one of the best tutorial for git and git hub because every one can confuse the student but  shradhha mam explained well in very decent mannert
526,"My time stamp - <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=896"">14:56</a>"
527,please make a video on MobgoDB by shradha didi
528,Thank You So Much Didi for wonderful Session..☺
529,Not getting index.html in github repo after everything I have done
530,very helpful
531,Thank you shraddha mam ❤
532,is GITDEMO is normal folder created in desktop or anyhow connected to git
533,Devops tutorial bhi dedo dii please
534,Now  I finally  Learn Git and Github. Thank you .
535,Please teach tutorials of Dart Language 🙏🏼
536,"Hello at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1684"">28:04</a> as in my windows 11 system &quot;ls - a&quot; did not work --- I had done exactlly as said in the video -- why so happened -- please can anyone  tell ???🙏🙏🙏 pls"
537,Really good video
538,"ls -a command displays this error <br>Get-ChildItem : Parameter cannot be processed because the parameter <br>name &#39;a&#39; is ambiguous. Possible matches include: -Attributes<br>-Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem],  <br>    ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShe  <br>   ll.Commands.GetChildItemCommand"
539,please one short on javascript
540,"Maam, the way you teach is excellent"
541,Ray-po-zee-Tary ? Aapko nhi lagta aapki pronounciation kuch galat hai?😅😅😅
542,could you please provide english subtitles for your content 😭
543,Awesome!
544,This was a great tutorial. Thank you maam. <br>Can you do the tutorial on CI/CD integration.
545,Thanks to Apana College⭐
546,vs code me json error ko fix kese kre...?
547,best videoo
548,thanx
549,"whah madam whah, very good teaching... Jai Telangana. jai India."
550,Testers bhi is video ko follow kar sakte hai kya
551,❤‍🔥
552,osm lecture
553,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2687"">44:47</a>"
554,"Hi Shradha, Today i started learning about Git and GitHub...I followed all the points as per your video and i got stuck in one place that the files/folders created in GitHub are not showing when i used Visual Studio to search for my repository demo folders....Result showing as No Match found....Kindly guide...."
555,tysm
556,great info thank you so much...
557,good video thanks
558,bad recording with this 50k shure mic. but good video :)
559,Thanku ❤
560,"Hello, this is a best video to learn basics of Git. Can you please explain commit amend command in simply way. Thanks"
561,Completed 😊
562,"It was a fab video, crisp and clear, understood each and every part of it.  thanks a ton.."
563,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1631"">27:11</a> No Showing hidden file show below msg<br><br>Get-ChildItem: Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly -System."
564,World without INDIANS would have been Hell for PROGRAMMERS
565,Is it necessary to download VS code can&#39;t it go with anaconda-jupyter notebook?
566,Thank You Didi it was a very informative and really really helpful video.
567,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=53"">0:53</a>"
568,please do similar video on vs code <br>its to confusing with all the things in it
569,Thankyou Shardha Didi
570,"For VS code, shall we use user installer or system installer?"
571,Waah did waah aapka jawab nahi. finest video 👌
572,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1309"">21:49</a>"
573,An easy-to-understand tutorial on Git and Gihub
574,Best explanation. Can you please create same fast track tutorial on Jenkins?
575,"When video playback runs on 2x speed and unable to understand it, make playback 0.75x from the YouTube."
576,"I get this error when using ls -a command in vs code terminal on windows pc, pls help <br><br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory     <br><br>-File -Hidden -ReadOnly -System."
577,"Thank you for bringing this wonderful video, just finished this video now, thanks a lot..."
578,Thank You
579,thank you so much didi for your efforts
580,@ApnaCollegeOfficial Can you please create the serious for Go Programming Language and Go Test need this for my project.🙏
581,"Good explanation,  you have very good command on the tool"
582,"Hi Mam, can you make video on Socket in Node.JS with room, namespace, broadcasting (in detailed) ??"
583,Thank you soo much.
584,good work.
585,"The content was amazing and your voice and pronunciation is amongst one of the best of all the creators on youtube. Kudos to the good work.<br><br> I just had a doubt towards the end of the course.  when we did git reset index.html @<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3993"">1:06:33</a> the staged changes were brought back and they were no more staged. but then  how to get back the deleted line?<br><br>Here it was just one line so I remembered the line exactly but if there are many such lines in the files that needs to be reversed than what is the next step?"
586,Extremely useful. I appreciate the efforts.
587,ls -a is not working for me .can anyone resolve for me
588,Please help
589,I can&#39;t access my git from vs code jb <br>git -- version likhta hu to the term git is not recognized likh ke ata h
590,since last 3 days i just sawing error but now my problem is fixed thanks didi for giving us this kind of helpful tutorials
591,Thank you so much excellent tutorial 🎉
592,"very useful, thank you for this quality content 😇"
593,"such a awesome video didi, It really helpful for me"
594,this video is so much useful for beginner just like me thanks a lot di
595,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> pe  jo workflow btaya hai ki local Repo ke sath kaam kese kare but ye toh Remote Repo ke sath kaam karne ka workflow hai  please help mam se kahi mistake toh nhi ho gyi yah me galat hu ..."
596,"didi  <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1718"">28:38</a> khapra chagne karke apna college na likh ke dhattarwal rakh dete to aur accha  hota nah 😁❤"
597,@apnacollege did git branch -b work nhi kr raha <br>koi or solution dijiye pls
598,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1427"">23:47</a>"
599,"On using git branch, it doesn&#39;t show master instead cursor comes on next line"
600,git checkout -b new_branch     --&gt; Is se new branch create hoke us branch ka selection ho jata hai as a current branch.<br><br>git branch -b new_branch        --&gt; Is se new branch create hoti hai.
601,Why doesn&#39;t &quot;ls -a&quot; in microsoft?
602,Gitlab CI CD please make a video
603,Wow.amazing...thanks didi
604,nice❤
605,Thank you Shradha didi... For your wonderful presentation
606,rebase &amp; cherry pick are omitted in this video
607,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3000"">50:00</a>"
608,Very nice tutorial
609,Please make another video on DevOPs
610,hello you are explaining excellent but please speat little slow
611,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4180"">1:09:40</a><br>Trick to remember::<br>We may read `git reset HEAD~1` as &quot;git reset head minus one&quot;.<br><br>I hope it may be helpful.<br>😃👍"
612,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3900"">1:05:00</a> RESET and more to undo changes"
613,"Thanks Shraddha, this helped me while preparing presentation on GIT"
614,I can&#39;t see class note for this lecture
615,Thanks a lot for this video This has really clear the concepts of GIT
616,Completed
617,"{ ls -a } is not working . It says : <br>Help..Plz..!🙏<br><br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is <br>ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly    <br>-System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingEx <br>   ception<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChil <br>   dItemCommand"
618,There is problem in modifing and it is not following the command push as i am working on Microsoft
619,nice ..............................tq
620,❤❤❤❤
621,Very nice explanation ❤
622,Thanks😊
623,For those whose faced issue while using &quot;ls -a&quot; command in VS Code on windows <br>just change your terminal form powershell to gitbash <br>to do this just type &quot;bash&quot;<br>&amp; then you can use the same command
624,Kisi ne notes dwnld kiya h to plss share kr do
625,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3653"">1:00:53</a>"
626,"thank you sooooo much. I was looking for this for a while, you saved me  <a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hf90Xv-jHeOR8gSxxrToBA""></a>"
627,"Wow, thankyou so much."
628,Thank You So Much dii😄😃
629,Don&#39;t we need to install the git-bash extension in the VS Code to use Git commands from the Terminal?
630,One Tutorial For Linux
631,I have a requeste please bring a javascript series. I have learnt a lot from your github tutorial. This really helpful for beginners to understand and start using of github. Thanks sharadha Di😊
632,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> - <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=975"">16:15</a> basic github<br>installing github and vs code till <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1180"">19:40</a> from 18: 20<br>Configuring git from 20: 17  23 :10<br> from <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1390"">23:10</a>"
633,Very nice tutorial given by shradhdha mam. Thanks
634,Now no need to update the Branch name as by default it returning the Main Branch 😊😊
635,"Great ma&#39;am but during Commit my automation project I found below warning regarding POM.xml File<br>warning: in the working copy of &#39;pom.xml&#39;, LF will be replaced by CRLF the next time Git touches it<br><br>will it affect something on Git hub?"
636,In  VS-Code while opening GITDEMO file when did we create GITDEMO file. As I am not able to find the folder in my laptop. I have followed all the steps showed in the video.
637,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3080"">51:20</a>"
638,Ma&#39;am ls -a not working what should I do
639,Thanks
640,Thank You Mam
641,"Hatssoff to our sharddha didi. for teaching the whole git github in one tutorial.<br>i am not able to understand the git as scartch but now can learn it fully,....."
642,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a> Git Branches<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3085"">51:25</a> Branch Commands<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3355"">55:55</a> Merging Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3432"">57:12</a> Pull Request<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3616"">1:00:16</a> Pull Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3650"">1:00:50</a> Resolving Merge Conflicts<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3931"">1:05:31</a> Undoing Changes<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4284"">1:11:24</a> Fork<br>Wish you guys the Best of Luck!😊"
643,"At <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3759"">1:02:39</a> i see that your using some kind of extension in vs code. Can anyone text its name ? And when i use &quot;git branch diff main&quot; in my vs terminal it stops after showing that result and doesn&#39;t move forward. Can any give the solution for this one too?"
644,I needed this tutorial so badly! Thank you for uploading this
645,Great explanation mam! I doesn&#39;t need to repeat it on any point. and it is very easy to understand as compared to another or older videos of others.
646,Dii JavaScript please
647,Well explained.Thank you Ma&#39;am.<br>❤🤩❤
648,You are so good at explaining the concept!!! Thanks
649,Command git branch is not showing any thing in my terminal anyone has idea whyyy?
650,Thank You Shradha Didi for your wonderful class on Github and Git... this class was awesome and i really liked the way you took the examples...by related each and everything with real life Thank You!
651,"Ma&#39;am aap kon sa teaching tool use kr rhi hai. Instant colour change , best visualisation ho rha hai."
652,Please design full tutorial on Angular
653,"Hmari didi kyo hoti tu,iss aman ki didi hogi,hum fo tujhe sali bna sakte hai"
654,Mam you explain very well and easy to understand
655,Thank you for the tutorial didi
656,Thank you di.please make viedo on javascript .
657,"Thanks a ton mam for uploading such a knowledge heavy video ,which cleared all my confusion .You explained so well 👏👏👏👏."
658,"Hey... In my local machine, the command &quot; ls -a &quot;(Hidden files) is actually not working.... what can I do to resolve this?"
659,Thankyou shardha mam &amp; aman dattarwal sir
660,"aayin<a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a>"
661,thank you
662,Nice thanks for the information
663,Thanks a lot
664,Mera account hai GitHub pr o 1 sal Purna hai ab mujhe upload karna chalu karna hai to me usi account se Kru ya Naya ACC khol luu
665,Thank you so much
666,What is the difference between branching and forking? At the end of the day we are pull requesting on the main branch or the repo? Please provide some examples for clear understanding.<br>Thanks in advance.
667,Bhaiya 12th pass hone ke baad bhi it sector me inki vajah se aa paya .<br>Inki avaj sunker hi coding sikhi or aaj mis team lead hu .<br>With amazing package thanks a lot di
668,Mam can you please take background in white
669,Very nice video. Like the on screen annotations as you go through. What software did you use for it? Keep up the great work!
670,Best video with Very nice explanations of the concept
671,git explained best possible way thank you mam for this video
672,"Thanks for the tutorial,learned a lot from you"
673,Very Helpful Tutorial Completed in One Shot Make more useful tutorials like this.
674,"pathspec &#39;remote&#39; did not match any files,,,any solution guys?"
